id	claim	value	unit	status	provenance	verify
C271	service life at phi=3, PSI reading	169.0	cycles	DERIVED	N(C08, 3)	fn:N3_psi
C272	thermal gain at phi=3, PSI reading	0.340	dimensionless	DERIVED	C271 x C133 / C100	fn:tq3_psi
C273	photon flux matching binder decay	1.27e28	/cm2/s	DERIVED	C02 / C237	fn:flux_match
C274	photon flux stripping 95 percent	2.72e29	/cm2/s	DERIVED	1e7 / C237	fn:flux_95
C275	heat balance, demonstrated cycles, at today's front end	0.105	dimensionless	DERIVED	C44 x C214 / (C100 / C106)	fn:q_heat_demo_fe
C276	heat balance, phi=3, at today's front end	0.125	dimensionless	DERIVED	C152 x C214 / (C100 / C106)	fn:q_heat_phi3_fe
C277	work balance, bound case, at today's front end	0.100	dimensionless	DERIVED	C176 x C217 / (C100 / C106)	fn:q_work_bound_fe
C278	work balance, demonstrated cycles, at today's front end	0.079	dimensionless	DERIVED	C44 x C217 / (C100 / C106)	fn:q_work_demo_fe
C279	captured muons per model-accepted pion, MARS15 front end	2.92	x	DERIVED	C106 / C143; different quantities, and that is the finding	fn:model_conservatism
C280	heat balance, demonstrated cycles, today's aperture both hemispheres	0.215	dimensionless	DERIVED	C44 x C214 / (C100 / C142)	fn:q_heat_demo_nf
C281	heat balance, bound case, today's aperture both hemispheres	0.272	dimensionless	DERIVED	C176 x C214 / (C100 / C142)	fn:q_heat_bound_nf
C282	heat balance, phi=3, today's aperture both hemispheres	0.253	dimensionless	DERIVED	C152 x C214 / (C100 / C142)	fn:q_heat_phi3_nf
C283	work balance, bound case, today's aperture both hemispheres	0.204	dimensionless	DERIVED	C176 x C217 / (C100 / C142)	fn:q_work_bound_nf
C284	breeding balance, demonstrated cycles, today's aperture both hemispheres	1.203	dimensionless	DERIVED	C44 x C220 / (C100 / C142)	fn:q_bred_demo_nf
C285	breeding balance, bound case, today's aperture both hemispheres	1.52	dimensionless	DERIVED	C176 x C220 / (C100 / C142)	fn:q_bred_bound_nf
C286	Kelly et al. optimised beam energy	3.61	GeV	SOURCED	Kelly Hart Rose J Phys Energy 3 035003 (2021), deuteron on W	collector.KELLY_BEAM_GEV
C287	Kelly et al. pi- per beam particle	0.77	pi-/beam particle	SOURCED	same, G4Beamline, W rod 652 mm x 5.1 mm	collector.KELLY_PIMINUS_PER_BEAM
C288	Kelly et al. target length	652	mm	SOURCED	same	collector.KELLY_TARGET_LEN_MM
C289	Kelly et al. target diameter	5.1	mm	SOURCED	same	collector.KELLY_TARGET_DIA_MM
C290	Kelly et al. cost per pi- produced	4.69	GeV	DERIVED	C286 / C287	fn:kelly_cost
C291	ratio, this paper's thin-target cost to Kelly's	2.37	x	DERIVED	C100 / C290	fn:kelly_ratio
C292	Kelly et al. heat per muon at 150 fusions	3.9	GeV	SOURCED	same	collector.KELLY_HEAT_GEV_150
C293	Kelly et al. reported Q, low	0.65	dimensionless	SOURCED	same	collector.KELLY_Q_LO
C294	Kelly et al. reported Q, high	0.78	dimensionless	SOURCED	same	collector.KELLY_Q_HI
C295	heat balance, demonstrated cycles, at Kelly's cost	0.834	dimensionless	DERIVED	C44 x C214 / C290	fn:qk_heat_demo
C296	heat balance, bound case, at Kelly's cost	1.06	dimensionless	DERIVED	C176 x C214 / C290	fn:qk_heat_bound
C297	work balance, demonstrated cycles, at Kelly's cost	0.625	dimensionless	DERIVED	C44 x C217 / C290	fn:qk_work_demo
C298	work balance, bound case, at Kelly's cost	0.79	dimensionless	DERIVED	C176 x C217 / C290	fn:qk_work_bound
C299	breeding balance, demonstrated cycles, at Kelly's cost	4.67	dimensionless	DERIVED	C44 x C220 / C290	fn:qk_bred_demo
C300	breeding balance, bound case, at Kelly's cost	5.9	dimensionless	DERIVED	C176 x C220 / C290	fn:qk_bred_bound
C301	Yin et al. assumed cost per mu-	5	GeV	SOURCED	arXiv:2605.26432 eq 7, said to include collection	collector.YIN_E_MU_GEV
C302	Yin et al. unpolarised sticking	0.0045	fraction	SOURCED	arXiv:2605.26432 Table I	none
C303	Yin et al. unpolarised cycle rate	2.0e8	s^-1	SOURCED	arXiv:2605.26432 Table I	none
C304	Yin et al. stated cycles, unpolarised	148	cycles	SOURCED	arXiv:2605.26432 Table I	none
C305	that row recomputed from their own equation	147.6	cycles	DERIVED	1 / (C302 + 4.55e5 / C303)	fn:yin_unpol_repro
C306	Yin et al. polarised-optimistic sticking	0.00315	fraction	SOURCED	arXiv:2605.26432 Table I	none
C307	Yin et al. polarised-optimistic cycle rate	3.0e8	s^-1	SOURCED	arXiv:2605.26432 Table I	none
C308	Yin et al. stated cycles, polarised optimistic	292	cycles	SOURCED	arXiv:2605.26432 Table I	none
C309	that row recomputed from their own equation	214.3	cycles	DERIVED	1 / (C306 + 4.55e5 / C307)	fn:yin_polopt_repro
C310	Yin et al. stated Q, polarised optimistic	1.03	dimensionless	SOURCED	arXiv:2605.26432 Table I	none
C311	that Q recomputed from their own equation	0.754	dimensionless	DERIVED	C309 x 17.6 MeV / C301	fn:yin_polopt_q_repro
C312	sticking their stated cycles imply at their stated rate	0.00191	fraction	DERIVED	1/C308 - 4.55e5/C307	fn:yin_polopt_implied_ws
C313	Yin et al. improvement ladder, total gain in cycles	5.9	x	DERIVED	873 / C304	fn:yin_ladder
C314	collection factor omitted, at today's aperture both hemispheres	1.64	x	DERIVED	1 / C142	fn:collection_factor_nf
C315	collection factor omitted, at today's front end	3.33	x	DERIVED	1 / C106	fn:collection_factor_fe
C316	Yin et al. unpolarised Q with collection applied	0.32	dimensionless	DERIVED	0.52 x C142	fn:yin_unpol_q_at_nf
C317	Yin et al. polarised-optimistic Q, recomputed and with collection	0.46	dimensionless	DERIVED	C311 x C142	fn:yin_polopt_q_corrected_at_nf
C318	muon transfer rate to oxygen	1.0e10	s^-1 at 1 LHD of oxygen	SOURCED	MuFusE arXiv:2606.19304 citing FAMU/Nagamine	mucf.LAMBDA_TRANSFER_OXYGEN
C319	contamination at which impurity loss equals decay, bound case	5.49	ppm	DERIVED	C02 / (C318 x C169)	fn:purity_parity_bound
C320	contamination at which impurity loss equals decay, phi=3	15.6	ppm	DERIVED	C02 / (C318 x 3)	fn:purity_parity_phi3
C321	service life at bound case, 1 ppm contamination	188.7	cycles	DERIVED	N with impurity term at 1e-6	fn:N_imp_1ppm
C322	service life at bound case, 10 ppm contamination	177.1	cycles	DERIVED	N with impurity term at 1e-5	fn:N_imp_10ppm
C323	service life at bound case, 100 ppm contamination	109.8	cycles	DERIVED	N with impurity term at 1e-4	fn:N_imp_100ppm
C324	diamond anvil cell pressure achieved	933	MPa	SOURCED	MuFusE arXiv:2606.19304	collector.DAC_PRESSURE_MPA
C325	diamond anvil cell temperature achieved	400	K	SOURCED	MuFusE arXiv:2606.19304	collector.DAC_TEMP_K
C326	diamond anvil cell design temperature ceiling	500	K	SOURCED	MuFusE arXiv:2606.19304	collector.DAC_TEMP_CEILING_K
C327	diamond anvil cell sample volume	19.2	mm3	SOURCED	MuFusE arXiv:2606.19304	collector.DAC_SAMPLE_MM3
C328	molar volume at twice liquid density	14.2	cm3/mol	DERIVED	phi_to_molar_volume(2)	fn:molar_vol_2lhd
C329	molar volume the bound case requires	3.33	cm3/mol	DERIVED	phi_to_molar_volume(C169)	fn:molar_vol_bound
C330	Kou and Chen useful cycle energy	20.4	MeV	SOURCED	arXiv:2607.10989, following Jones' convention	none
C331	their sticking boundary at their reference cost	0.408	percent	DERIVED	C330 / C301	fn:kc_boundary_ref
C332	sticking boundary, heat, this paper's cost	0.234	percent	DERIVED	C214 / C100	fn:omega_crit_heat
C333	sticking boundary, work, this paper's cost	0.176	percent	DERIVED	C217 / C100	fn:omega_crit_work
C334	sticking boundary, bred fuel, this paper's cost	1.31	percent	DERIVED	C220 / C100	fn:omega_crit_bred
C335	sticking boundary, heat, at today's aperture both hemispheres	0.143	percent	DERIVED	C214 x C142 / C100	fn:omega_crit_heat_nf
C336	sticking boundary, bred fuel, at today's front end	0.394	percent	DERIVED	C220 x C106 / C100	fn:omega_crit_bred_fe
C341	density required, bred fuel, perfect collection	0.222	LHD	DERIVED	solved from N(C113, phi) = C100 / C220	fn:phi_bred_perfect
C342	density required, bred fuel, at the sec.5.9 collector	0.265	LHD	DERIVED	same at 0.9	fn:phi_bred_c90
C343	density required, bred fuel, at today's aperture both hemispheres	0.60	LHD	DERIVED	same at C142	fn:phi_bred_nf
C345	service life the model gives at Los Alamos conditions	152.8	cycles	DERIVED	N(C113, 1.2)	fn:N_model_at_la
C346	model over-prediction against the one measured point	1.02	x	DERIVED	C345 / C44	fn:model_over_measured
C347	service life at Los Alamos conditions on the final sticking	166.8	cycles	DERIVED	N(C07, 1.2)	fn:N_at_la_final_sticking
C348	Kou and Chen SIN/Crowe anchor yield	124	fusions	SOURCED	arXiv:2607.10989 Table I, citing Crowe LBL-23816	none
C349	their SIN/Crowe effective sticking	0.57	percent	SOURCED	arXiv:2607.10989 Table I	none
C350	their SIN/Crowe cycle strength	424	dimensionless	DERIVED	1.93e8 x 2.197 microseconds	fn:L_mu_kc_sin
C351	this paper's cycle strength at the bound-case density	4738	dimensionless	DERIVED	C169 x C03 / C02	fn:L_mu_bound
C352	modern initial sticking, coupled-channel few-body	8.57e-3	fraction	SOURCED	Kamimura Kino Yamashita Phys Rev C 107 034607 (2023)	mucf.OMEGA_INITIAL_MODERN
C353	intramolecular fusion rate, same source	1.15e12	s^-1	SOURCED	Kamimura Kino Yamashita Phys Rev C 107 034607 (2023)	mucf.LAMBDA_FUSION_INTRAMOLECULAR
C354	ratio, modern initial sticking to this paper's	0.914	x	DERIVED	C352 / C05	fn:modern_ws_ratio
C355	effective sticking rescaled to the modern value	0.1359	percent	DERIVED	C113 x C354	fn:ws_sin_modern
C356	service life at the bound case, modern value	637.0	cycles	DERIVED	N(C355, C169)	fn:N_bound_modern
C357	heat balance, bound case, perfect collection, modern value	1.492	dimensionless	DERIVED	C356 x C214 / C100	fn:q_heat_bound_modern
C358	heat balance, bound case at today's aperture, modern value	0.911	dimensionless	DERIVED	C356 x C214 x C142 / C100	fn:q_heat_bound_nf_modern
C359	Kou and Chen stripping reference photon energy	15	keV	SOURCED	arXiv:2606.07077 eq 36	none
C360	their reference energy fluence	7.2e7	J/cm2	SOURCED	arXiv:2606.07077 eq 38	none
C361	that fluence sustained over one binder lifetime	3.28e13	W/cm2	DERIVED	C360 / 2.197 microseconds	fn:kc_sustained
C362	ratio to the companion sec.2.1's independent requirement	1.48	x	DERIVED	C361 / C238	fn:kc_over_5_21
C363	their collision-only cycle yield	112.6	cycles	SOURCED	arXiv:2606.07077 eq 46, phi=1.25	none
C364	their best-case cycle yield with external stripping	156.5	cycles	SOURCED	arXiv:2606.07077, optimistic transport benchmark	none
C365	cycle gain from external-field stripping	1.39	x	DERIVED	C364 / C363	fn:stripping_gain
C366	their collision-only effective sticking	0.557	percent	SOURCED	arXiv:2606.07077 eq 46	none
C367	their collisional reactivation probability	0.35	fraction	SOURCED	arXiv:2606.07077 eq 33	none
C368	muon momentum in the pion rest frame	29.79	MeV/c	DERIVED	(m_pi^2 - m_mu^2) / 2 m_pi	collector.P_STAR_MEV
C369	muon energy in the pion rest frame	109.78	MeV	DERIVED	(m_pi^2 + m_mu^2) / 2 m_pi	collector.E_STAR_MEV
C370	NF/MC rf-capture window, lower edge	100	MeV/c	SOURCED	Strait et al. sec.II, 40 < T_mu < 180 MeV	none
C371	NF/MC rf-capture window, upper edge	265	MeV/c	SOURCED	Strait et al. sec.II	none
C372	NF/MC front-end channel length	50	m	SOURCED	Strait et al. sec.II	collector.NF_CHANNEL_M
C373	acceptance model reproducing MARS15	29.51	percent	DERIVED	forward hemisphere, 1.50 T.m, rf window	fn:model_vs_mars
C374	ratio, model to the full simulation	0.982	x	DERIVED	C373 / C106	fn:model_mars_agreement
C375	decay survival, captured mu- per captured pi-	0.997	fraction	DERIVED	two-body decay integrated over the rest frame	fn:decay_survival_nf
C376	delivered, forward hemisphere, no momentum requirement	50.69	percent	DERIVED	1.50 T.m	fn:deliv_fwd_nf
C377	delivered, both hemispheres, no momentum requirement	60.92	percent	DERIVED	1.50 T.m	fn:deliv_both_nf
C378	delivered, backward hemisphere, no momentum requirement	10.23	percent	DERIVED	1.50 T.m	fn:deliv_back_nf
C379	cost of the rf-capture window	1.72	x	DERIVED	C376 / C373	fn:rf_window_cost
C380	gain from adding the backward hemisphere	1.20	x	DERIVED	C377 / C376	fn:hemisphere_gain
C381	delivered, both hemispheres, p below 400 MeV/c	49.16	percent	DERIVED	1.50 T.m	fn:deliv_both_nf_400
C382	delivered, both hemispheres, p below 265 MeV/c	44.43	percent	DERIVED	1.50 T.m	fn:deliv_both_nf_265
C383	delivered, both hemispheres, p below 200 MeV/c	36.48	percent	DERIVED	1.50 T.m	fn:deliv_both_nf_200
C384	delivered, wider bore, both hemispheres, p below 400 MeV/c	68.20	percent	DERIVED	2.60 T.m	fn:deliv_both_90_400
C385	delivered, wider bore, both hemispheres, p below 265 MeV/c	52.79	percent	DERIVED	2.60 T.m	fn:deliv_both_90_265
C386	breeding balance at 150 cycles, today's aperture, no momentum cut	1.199	dimensionless	DERIVED	C44 x C220 / (C100 / C377)	fn:qb_deliv_both_nf
C387	breeding balance at 150 cycles, today's aperture, p below 400	0.968	dimensionless	DERIVED	C44 x C220 / (C100 / C381)	fn:qb_deliv_both_nf_400
C388	breeding balance at 150 cycles, today's aperture, p below 265	0.875	dimensionless	DERIVED	C44 x C220 / (C100 / C382)	fn:qb_deliv_both_nf_265
C389	breeding balance at 150 cycles, wider bore, p below 400	1.343	dimensionless	DERIVED	C44 x C220 / (C100 / C384)	fn:qb_deliv_both_90_400
C390	breeding balance at 150 cycles, wider bore, p below 265	1.039	dimensionless	DERIVED	C44 x C220 / (C100 / C385)	fn:qb_deliv_both_90_265
C391	breeding balance at 150 cycles, today's aperture p below 265, Kelly cost	2.076	dimensionless	DERIVED	C44 x C220 / (C290 / C382)	fn:qb_deliv_kelly_265
C392	collection needed, bred fuel at 150 cycles, Kelly cost	21.4	percent	DERIVED	C290 / (C44 x C220)	fn:eta_bred_demo_kelly
C393	delivered, wider bore, both hemispheres, p below 200 MeV/c	38.68	percent	DERIVED	2.60 T.m	fn:deliv_both_90_200
C394	collection factor omitted, today's aperture through a 265 MeV/c stopping window	2.25	x	DERIVED	1 / C382	fn:collection_factor_stop265
C395	minimum-ionising muon dE/dx in liquid hydrogen	4.06	MeV cm2/g	DERIVED	Bethe, integrated; PDG gives 4.034	fn:min_ionising_h2
C396	muon CSDA range in hydrogen at 150 MeV/c	10.6	g/cm2	DERIVED	Bethe integrated from 0.5 MeV	fn:range_150
C397	muon CSDA range in hydrogen at 265 MeV/c	33.9	g/cm2	DERIVED	Bethe integrated from 0.5 MeV	fn:range_265
C398	muon CSDA range in hydrogen at 400 MeV/c	65.4	g/cm2	DERIVED	Bethe integrated from 0.5 MeV	fn:range_400
C399	tritium inventory for a 150 MeV/c window	0.50	kg	DERIVED	C396 x pi x 5 cm squared x 3/5	fn:trit_150
C400	tritium inventory for a 265 MeV/c window	1.60	kg	DERIVED	C397 x pi x 5 cm squared x 3/5	fn:trit_265
C401	tritium inventory for a 400 MeV/c window	3.08	kg	DERIVED	C398 x pi x 5 cm squared x 3/5	fn:trit_400
C402	inventory cost of widening 265 to 400 MeV/c	1.93	x	DERIVED	C401 / C400	fn:trit_ratio_400_265
C403	delivered gain from that widening	1.11	x	DERIVED	C381 / C382	fn:eta_ratio_400_265
C404	target length for a 265 MeV/c window at liquid density	192	cm	DERIVED	C397 / DT density at 1 LHD	fn:len_265_phi1
C405	target length for the same window at the bracketed density	23	cm	DERIVED	C397 / DT density at C169	fn:len_265_phi85
C406	MuFusE target tritium activity, modelled	23.1	Ci	DERIVED	4 mg 50/50 fill; they state about 24	fn:mufuse_curies
C407	beam envelope at the capture solenoid	7.50	cm	DERIVED	twice the gyroradius at the p_T cap, 20 T; the source states 7.5	fn:envelope_capture
C408	beam envelope after the adiabatic taper	30.0	cm	DERIVED	same at 1.25 T; the source states an absorber growing to 30	fn:envelope_taper
C409	beam envelope at the sec.5.9 aperture	13.0	cm	DERIVED	same at 2.60 T.m, 20 T; sec.5.9 specifies 13	fn:envelope_wide
C410	NF/MC channel field after the taper	1.25	T	SOURCED	Strait et al. Fig. 2	none
C411	tritium, today's aperture, 265 MeV/c window	3.59	kg	DERIVED	C397 x pi x C407 squared x 3/5	fn:trit_nf_265
C412	tritium, today's aperture, 400 MeV/c window	6.93	kg	DERIVED	C398 x pi x C407 squared x 3/5	fn:trit_nf_400
C413	tritium, wider bore, 265 MeV/c window	10.79	kg	DERIVED	C397 x pi x C409 squared x 3/5	fn:trit_wide_265
C414	tritium, wider bore, 400 MeV/c window	20.82	kg	DERIVED	C398 x pi x C409 squared x 3/5	fn:trit_wide_400
C415	inventory cost of the wider bore	3.01	x	DERIVED	C413 / C411	fn:bore_trit_cost
C416	tritium per unit balance, wider bore at measured production	10.4	kg	DERIVED	C413 / C390	fn:kg_per_gain_bore
C417	tritium per unit balance, today's aperture at the optimised target	1.73	kg	DERIVED	C411 / C391	fn:kg_per_gain_target
C418	the production target's advantage in tritium per unit balance	6.0	x	DERIVED	C416 / C417	fn:lever_ratio
C419	production cost inverted from an independent published yield	10.93	GeV	DERIVED	Strait Table II at 4.1 GeV, through the validated model	fn:strait_cost_41
C420	its agreement with this paper's own figure	0.982	x	DERIVED	C419 / C100	fn:strait_agreement
C421	pi- per interacting proton, inverted at 4.1 GeV	0.375	pi-/p	DERIVED	Strait Table II through the model	fn:strait_pions_41
C422	thickness amplification, 2 lambda over 0.05, at 4.1 GeV	0.963	x	SOURCED	Strait et al. Table II	fn:thick_amp_41
C423	thickness amplification at 11.1 GeV	1.186	x	SOURCED	Strait et al. Table II	fn:thick_amp_111
C424	Kelly's yield against the inverted figure at comparable beam energy	2.05	x	DERIVED	C287 / C421	fn:kelly_over_strait
C425	HARP thin-target thickness	0.05	interaction lengths	SOURCED	Strait et al. sec.V; the thick target is 2	none
C426	uncovered wedge between the two HARP tables, solid angle	0.186	sr	DERIVED	2 pi (cos 0.25 - cos 0.35)	fn:gap_solid_angle
C427	wedge contribution, low bracket	0.040	pi-/interacting p	DERIVED	adjacent large-angle bin held across the wedge	fn:gap_low
C428	wedge contribution, high bracket	0.071	pi-/interacting p	DERIVED	adjacent forward bin held across the wedge	fn:gap_high
C429	cost per pi- with the wedge at its high bracket	10.13	GeV	DERIVED	8 GeV / (C99 + C428)	fn:cost_gap_low
C430	cost per pi- with the wedge at its low bracket	10.54	GeV	DERIVED	8 GeV / (C99 + C427)	fn:cost_gap_high
C431	uncovered backward cone, ceiling estimate	0.065	pi-/interacting p	DERIVED	last measured bin held flat to 180 degrees	fn:backward_ceiling
C432	most the coverage gap can be worth	1.10	x	DERIVED	C100 / C429	fn:coverage_max_factor
C433	effective sticking, modern theory from the ground state	0.557	percent	DERIVED	C352 x (1 - C435)	fn:ws_operative
C434	effective sticking, best witnessed value	0.505	percent	MEASURED	PSI 2001, liquid; also 0.532 and 0.515	fn:ws_witnessed_best
C435	reactivation coefficient, witnessed	0.35	fraction	SOURCED	Kamimura et al. sec.5C, phi 1.2-1.5	mucf.R_REACTIVATION
C436	ratio, operative sticking to this paper's superseded chain	3.74	x	DERIVED	C433 / C113	fn:ws_chain_ratio
C437	service-life cap at the modern-theory sticking	180	cycles	DERIVED	1 / C433	fn:n_cap_theory
C438	service-life cap at the best witnessed sticking	198	cycles	DERIVED	1 / C434	fn:n_cap_witnessed
C439	most a binder can return, heat form	5.16	GeV	DERIVED	C438 x C214	fn:out_per_binder_heat
C440	most a binder can return, raw fusion	3.48	GeV	DERIVED	C438 x C01	fn:out_per_binder_raw
C441	the witnessed ceiling on the balance, heat form	0.464	dimensionless	DERIVED	C439 / C100	fn:q_cap_heat
C442	the witnessed ceiling on the balance, raw fusion	0.313	dimensionless	DERIVED	C440 / C100	fn:q_cap_raw
C443	sticking the heat form requires	0.234	percent	DERIVED	C214 / C100	fn:ws_required_heat
C444	reactivation the heat form requires	0.727	fraction	DERIVED	1 - C443 / C352	fn:r_required_heat
C445	factor by which reactivation must rise	2.08	x	DERIVED	C444 / C435	fn:r_shortfall
C446	convertible yield per fusion the heat form requires	56.2	MeV	DERIVED	C100 x C434	fn:v_required_heat
C447	binder cost the heat form requires	5.16	GeV	DERIVED	C214 / C434	fn:ebinder_required_heat
C448	high-Z admixture: transfer rate against the cycle rate	11.6	x	DERIVED	at the concentration that would double the stripping	none
C449	hydrogenic photoionisation cross section of the bound binder	3.684e-23	cm2	DERIVED	6.30e-18 / (206.768^2 x 4)	fn:sigma_amu_photo
C450	that against the rate network's placeholder	1.84	x	DERIVED	C449 / 20 barn	fn:sigma_over_placeholder
C451	external stripping branch required	0.580	fraction	DERIVED	from C443, C352 and C435	fn:rx_required
C452	external stripping branch achieved	0.447	fraction	DERIVED	their 112.6 to 156.5 cycle gain	fn:rx_achieved
C453	the remaining gap in the external branch	1.30	x	DERIVED	C451 / C452	fn:rx_gap
C454	photon fluence required	2.37e22	/cm2	DERIVED	P_X inverted through C449	fn:fluence_required
C455	sustained intensity required, on the computed cross section	2.59e13	W/cm2	DERIVED	C454 x 15 keV / a binder lifetime	fn:intensity_required
C456	its agreement with sec.5.20's independent derivation	1.17	x	DERIVED	C455 / C238	fn:intensity_agreement
C457	stopped binders per second for one megawatt of fusion	1.2e15	s^-1	SOURCED	this corpus, PROSE-ONLY PO-0898 / register R29	mucf.FLUX_FOR_ONE_MW
C458	best delivered binder flux today	1.0e8	s^-1	SOURCED	PSI, same source	mucf.FLUX_PSI_TODAY
C459	best planned binder flux	1.0e10	s^-1	SOURCED	HIMB, same source	mucf.FLUX_HIMB_PLANNED
C460	flux gap against the best planned source	1.2e5	x	DERIVED	C457 / C459	fn:flux_gap_planned
C461	flux gap against the best source today	1.2e7	x	DERIVED	C457 / C458	fn:flux_gap_today
C462	cycle-rate ceiling set by the transfer step	2.6e8	s^-1	SOURCED	this corpus, PO-0897 / register R28	mucf.LAMBDA_C_CEILING
C463	what temperature buys in cycle rate before it stops	3.6	x	SOURCED	same	mucf.TEMP_GAIN_CEILING
C464	ambient-branch screening ceiling	30	eV	SOURCED	this corpus, PO-0894; Thomas-Fermi 29, plasmon 9, Fermi 7	none
C465	ambient-branch screening requirement	88	eV	SOURCED	same	none
C466	ambient branch, shortfall in rate	27	orders	SOURCED	same	none
C467	best balance anywhere in the structural binder window	0.807	dimensionless	DERIVED	C214 / (C434 x C100 x 119/207)	fn:qmax_window_floor
C468	its shortfall	1.24	x	DERIVED	1 / C467	fn:qmax_window_shortfall
C469	blanket multiplication that would reach breakeven	6.33	n per source n	DERIVED	solved from C446	fn:blanket_multiplication_needed
C470	co-product gain at today's front-end capture	10.5	percent of beam	DERIVED	C99 x 0.30 x C44 x C214 / 8 GeV	fn:coproduct_gain_30
C471	co-product gain at half capture	17.6	percent of beam	DERIVED	same at 0.50	fn:coproduct_gain_50
C472	co-product gain at the sec.5.9 collector	31.6	percent of beam	DERIVED	same at 0.90	fn:coproduct_gain_90
C473	binders per second in situ on a one-megawatt driver	2.80e14	s^-1	DERIVED	1 MW at 8 GeV x C99 x 0.50	fn:coproduct_binders_per_second_1mw
C474	fusion heat from that	176	kW	DERIVED	C473 x C44 x C214	fn:coproduct_kw_1mw
C475	in-situ capture against the best planned delivered beam	2.80e4	x	DERIVED	C473 / C459	fn:insitu_over_delivered
C476	pi+ production off Pb, large angle, 8 GeV/c	1.067	barn	DERIVED	HARP Eur. Phys. J. C 63 549 Table 7, integrated	fn:species_sigma_la_plus
C477	pi+ production off Pb, forward, 8 GeV/c	0.248	barn	DERIVED	HARP Phys. Rev. C 80 035208 Tables XXII and XXXII, Jacobian applied	fn:species_sigma_fwd_plus
C478	pi-/pi+ off Pb, large angle	0.973	ratio	DERIVED	C5.1 large-angle integral over C476	fn:species_ratio_la
C479	pi-/pi+ off Pb, forward	0.742	ratio	DERIVED	forward integral over C477	fn:species_ratio_fwd
C480	pi- as a fraction of charged pions PRODUCED off Pb	0.4816	fraction	DERIVED	both charges, both spectrometers, 8 GeV/c	fn:species_f_minus_produced
C481	halving overstates the usable half over production	3.8	percent	DERIVED	0.5 / C480 - 1	fn:species_halving_overstatement_pct
C482	pi-/pi+ off Pb, 0.10-0.15 GeV/c	1.354	ratio	DERIVED	the low-momentum excess HARP reports for lead	fn:species_bin_ratio_100_150
C483	pi-/pi+ off Pb, 0.15-0.20 GeV/c	1.016	ratio	DERIVED	large-angle tables, one momentum bin	fn:species_bin_ratio_150_200
C484	pi-/pi+ off Pb, 0.20-0.25 GeV/c	0.967	ratio	DERIVED	large-angle tables, one momentum bin	fn:species_bin_ratio_200_250
C485	pi-/pi+ off Pb, 0.30-0.35 GeV/c	0.920	ratio	DERIVED	large-angle tables, one momentum bin	fn:species_bin_ratio_300_350
C486	pi-/pi+ off Pb, 0.45-0.50 GeV/c	0.866	ratio	DERIVED	large-angle tables, one momentum bin	fn:species_bin_ratio_450_500
C487	pi- as a fraction of the charged pions ACCEPTED	0.5084	fraction	DERIVED	sec.5.24 acceptance model run over each charge in turn	fn:species_f_minus_accepted
C488	the halving against the accepted fraction	1.7	percent	DERIVED	|C487 / 0.5 - 1|	fn:species_halving_error_pct
C489	HARP normalisation uncertainty, lead	3	percent	SOURCED	Eur. Phys. J. C 63 549, stated and not in its tables	collector.HARP_NORM_UNCERTAINTY_PB
C490	charge fraction assumed by the halving	0.5	fraction	ASSUMED	validated by C487, retained -- not flattened to it	collector.CHARGE_FRACTION_ASSUMED
C491	N/Z of lead	1.537	ratio	MEASURED	Z=82, N=126	collector.N_OVER_Z.Pb
C492	N/Z of aluminium	1.077	ratio	MEASURED	Z=13, N=14	collector.N_OVER_Z.Al
C493	pi-/pi+ off Pb, large angle, integrated	0.973	ratio	DERIVED	HARP Tables 7 and 8, 8 GeV/c	fn:species_ratio_pb
C494	pi-/pi+ off Al, large angle, integrated	0.732	ratio	DERIVED	HARP Tables 5 and 6, 8 GeV/c	fn:species_ratio_al
C495	f(pi-) off Pb, large angle	0.4930	fraction	DERIVED	C493 / (1 + C493)	fn:species_f_minus_pb
C496	f(pi-) off Al, large angle	0.4226	fraction	DERIVED	C494 / (1 + C494)	fn:species_f_minus_al
C497	lead over aluminium in the charge ratio	1.329	ratio	DERIVED	C493 / C494	fn:species_pb_over_al_ratio
C498	a low-Z target's usable pions against lead's	0.857	ratio	DERIVED	C496 / C495, at equal total charged-pion yield	fn:species_al_usable_vs_pb
C499	best single momentum bin, f(pi-)	0.5753	fraction	DERIVED	C482 / (1 + C482)	fn:species_best_bin_f_minus
C500	what charge selection buys on the accepted fraction	1.132	ratio	DERIVED	C499 / C487	fn:species_best_bin_gain
C501	pi- yield surviving the best single bin	14.7	percent	DERIVED	large-angle pi- integral in 0.10-0.15 over the whole	fn:species_best_bin_yield_pct
C502	what charge selection costs in yield	6.8	ratio	DERIVED	1 / C501	fn:species_best_bin_cost
C503	capture-and-stop ceiling at a 265 MeV/c window	0.3420	fraction	DERIVED	sec.5.24 acceptance with a stopping window, not an rf one	fn:insitu_ceiling_265
C504	capture-and-stop ceiling at a 400 MeV/c window	0.3893	fraction	DERIVED	the same, deeper target	fn:insitu_ceiling_400
C505	capture-and-stop ceiling at a 700 MeV/c window	0.4512	fraction	DERIVED	the same, deeper still	fn:insitu_ceiling_700
C506	the ceiling no target depth exceeds	0.5069	fraction	DERIVED	the solenoid's own acceptance, forward hemisphere, no window	fn:insitu_acceptance_ceiling
C507	fusion heat as a fraction of beam, at 30 percent capture	10.5	percent	DERIVED	spec sec.5.2 table, first row	fn:insitu_heat_pct_at_30
